"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","104.152.52.23","147.32.83.245","TCP","60","45078  >  5243 [SYN] Seq=0 Win=1024 Len=0"
"2","0.000894","147.32.83.245","104.152.52.23","TCP","54","5243  >  45078 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"3","1.431688","147.32.83.245","104.244.42.194","TLSv1.2","112","Application Data"
"4","1.439113","104.244.42.194","147.32.83.245","TLSv1.2","112","Application Data"
"5","1.440108","147.32.83.245","104.244.42.194","TCP","66","60640  >  443 [ACK] Seq=47 Ack=47 Win=1641 Len=0 TSval=4294959160 TSecr=199124011"
"6","2.774050","147.32.83.245","209.237.199.128","TLSv1.2","112","Application Data"
"7","2.782539","209.237.199.128","147.32.83.245","TLSv1.2","112","Application Data"
"8","2.784027","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=47 Ack=47 Win=1641 Len=0 TSval=4294959496 TSecr=1333752170"
"9","4.991172","60.244.146.157","147.32.83.245","TCP","60","19856  >  80 [SYN] Seq=0 Win=29352 Len=0 MSS=1460"
"10","4.992043","147.32.83.245","60.244.146.157","TCP","54","80  >  19856 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","19.496325","104.152.52.23","147.32.83.245","TCP","60","45078  >  514 [SYN] Seq=0 Win=1024 Len=0"
"12","19.497501","147.32.83.245","104.152.52.23","TCP","54","514  >  45078 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"13","19.619449","104.152.52.23","147.32.83.245","TCP","60","45078  >  1494 [SYN] Seq=0 Win=1024 Len=0"
"14","19.620544","147.32.83.245","104.152.52.23","TCP","54","1494  >  45078 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"15","21.429988","207.244.248.194","147.32.83.245","TCP","60","40813  >  8291 [SYN] Seq=0 Win=1024 Len=0"
"16","21.431069","147.32.83.245","207.244.248.194","TCP","54","8291  >  40813 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"17","21.473972","147.32.83.245","104.244.42.194","TLSv1.2","112","Application Data"
"18","21.482087","104.244.42.194","147.32.83.245","TLSv1.2","112","Application Data"
"19","21.482523","147.32.83.245","104.244.42.194","TCP","66","60640  >  443 [ACK] Seq=93 Ack=93 Win=1641 Len=0 TSval=4294964170 TSecr=199144053"
"20","22.816727","147.32.83.245","209.237.199.128","TLSv1.2","112","Application Data"
"21","22.825254","209.237.199.128","147.32.83.245","TLSv1.2","112","Application Data"
"22","22.825824","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=93 Ack=93 Win=1641 Len=0 TSval=4294964506 TSecr=1333772213"
"23","22.829265","172.217.23.206","147.32.83.245","TCP","66","443  >  60742 [FIN, ACK] Seq=1 Ack=1 Win=283 Len=0 TSval=3736936819 TSecr=4294904517"
"24","22.869295","147.32.83.245","172.217.23.206","TCP","66","60742  >  443 [ACK] Seq=1 Ack=2 Win=1728 Len=0 TSval=4294964517 TSecr=3736936819"
"25","33.450853","104.152.52.23","147.32.83.245","TCP","60","45078  >  17500 [SYN] Seq=0 Win=1024 Len=0"
"26","33.451566","147.32.83.245","104.152.52.23","TCP","54","17500  >  45078 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"27","40.235801","104.152.52.23","147.32.83.245","TCP","60","45078  >  2222 [SYN] Seq=0 Win=1024 Len=0"
"28","40.236954","147.32.83.245","104.152.52.23","TCP","54","2222  >  45078 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"29","41.516497","147.32.83.245","104.244.42.194","TLSv1.2","112","Application Data"
"30","41.524057","104.244.42.194","147.32.83.245","TLSv1.2","112","Application Data"
"31","41.525158","147.32.83.245","104.244.42.194","TCP","66","60640  >  443 [ACK] Seq=139 Ack=139 Win=1641 Len=0 TSval=1885 TSecr=199164094"
"32","42.857764","147.32.83.245","209.237.199.128","TLSv1.2","112","Application Data"
"33","42.865833","209.237.199.128","147.32.83.245","TLSv1.2","112","Application Data"
"34","42.866203","147.32.83.245","209.237.199.128","TCP","66","42290  >  443 [ACK] Seq=139 Ack=139 Win=1641 Len=0 TSval=2220 TSecr=1333792253"
"35","49.785901","147.32.83.245","224.0.0.251","MDNS","74","Standard query 0x0000 PTR _fb._tcp.local, ""QM"" question"
"36","49.785906","147.32.83.245","224.0.0.251","MDNS","74","Standard query 0x0000 PTR _fb._tcp.local, ""QM"" question"
"37","50.789019","147.32.83.245","224.0.0.251","MDNS","74","Standard query 0x0000 PTR _fb._tcp.local, ""QM"" question"
"38","50.789022","147.32.83.245","224.0.0.251","MDNS","74","Standard query 0x0000 PTR _fb._tcp.local, ""QM"" question"
"39","53.801306","147.32.83.245","224.0.0.251","MDNS","74","Standard query 0x0000 PTR _fb._tcp.local, ""QM"" question"
"40","53.801315","147.32.83.245","224.0.0.251","MDNS","74","Standard query 0x0000 PTR _fb._tcp.local, ""QM"" question"
"41","53.891290","88.230.45.228","147.32.83.245","TCP","66","31435  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1452 WS=4 SACK_PERM=1"
"42","53.894480","147.32.83.245","88.230.45.228","TCP","54","445  >  31435 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"43","54.472092","88.230.45.228","147.32.83.245","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 31435  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1452 WS=4 SACK_PERM=1"
"44","54.472874","147.32.83.245","88.230.45.228","TCP","54","445  >  31435 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"45","55.058177","88.230.45.228","147.32.83.245","TCP","62","[TCP Retransmission] [TCP Port numbers reused] 31435  >  445 [SYN] Seq=0 Win=8192 Len=0 MSS=1452 SACK_PERM=1"
